text,created_date,rubrics
"Слив информации на пассивки:

• Булл (Блокировка боли)
• Джесси (Массовый шок)
• Поко (Звукотерапия)
• Дэррил (Перезарядка на ходу)
• Карл (Разгром)
• Биби (Липкая жвачка и Полная готовность)
• Мортис (Свернувшаяся змея и Неуловимый)
• Леон (Тайное лекарство)
• Ворон (Стервятник)
• Джин (Рука помощи)

Включай уведомления чтобы не пропускать много полезной информации! ✅",2019-07-25 12:42:13,"['VK-1603736028819866', 'VK-11879320040', 'VK-63192684938']"
"🎁 Конкурс на НОВЫЙ СКИН ‼️

Условия: 

- Like ❤
- Репост 📣
- Подписаться на уведомления 🔥

⏰ Итоги 4 июня в 17:00 по МСК",2019-05-31 17:18:42,"['VK-1603736028819866', 'VK-95883495386', 'VK-55347043459']"
"Интересно узнать ваше мнение, очень долгий период в группу ничего не выкладывалось, так как времени не было и считаю что тема потеряла свою актуальность. 
Что скажите по этому поводу, может есть какие-то предложения?📱",2019-05-16 05:59:36,"['VK-1603736028819866', 'VK-64144010029', 'VK-41686355398']"
"моя первая попытка построить что-то боле менее нормальное, оцените от 1/10 пожалуйста.

P. S извиняюсь за место фото)",2019-12-26 09:27:00,"['VK-1603736028819866', 'VK-10925451700', 'VK-26499386090']"
"Новый боевой таз. Был в наличии только смоляной кузов пикап. Отдельно докупал детали. Салон кастом. Чтож, на этот раз колеса в арках, есть расширение так что оцениваем",2019-12-24 15:05:57,"['VK-1603736028819866', 'VK-62365061197', 'VK-91292631967']"
"Всем дратути)
Народ,как думаете,стоит ли делать такое крыло (в газетах)? Отпишите в коммы,пожалуйста,нужен совет)
Фота для примера:",2019-12-21 22:32:12,"['VK-1603736028819866', 'VK-83173127041', 'VK-38797155901']"
"Всем привет👋.У меня есть вопрос ,какой стиль лучше для неё сделать реста или стенс . Модели 2года она до сих пор в стоке ,нужно что-то менять.",2019-12-08 15:30:00,"['VK-1603736028819866', 'VK-68211854223', 'VK-49536229743']"
"Здарова,народ!)
Хочу представить Вам мою первую модель-ВАЗ-2107)
Делал я ее долго,с усовершенствованиями и доработками.
Знаю,косяки есть,но они активно исправляются)
Зад,кстати,с черным прокрасом как на раннем М-2140,я знаю,что так делают в основном на 2106,но видел я как-то 05 с такой штукой)
Так что не судите строго,я старался)
Если есть конструктивная критика,пишите в комменты,будет интересно почитать)
Если что,на фото с бернаутом в водительском стекле отражение,это не суперклей)",2019-11-21 18:46:10,"['VK-1603736028819866', 'VK-50385308826', 'VK-58935270154']"
"Всем привет, ребят✋! Наконец-то доделал свою первую БК! Не без косяков конечно, но всё же думаю что для первого раза получилось отлично. К зиме готов так сказать 💪😎. 
Оцените пожалуйста от 1 до  10👇👇👇",2019-11-12 21:10:52,"['VK-1603736028819866', 'VK-31847372306', 'VK-32126024333']"
"Вот таким получился закос таврии под АЕ 86. Добавил утиный хвост, маленькие фендеры и губу переднего бампера, заменил выхлопную трубу. Боковой молдинг выявил мой нервный треммор, поэтому получилос кривовато. Правое зеркало сперли цыгане, да.",2019-11-03 00:06:50,"['VK-1603736028819866', 'VK-15913314151', 'VK-36357962703']"
"Привет всем! Хочу показать свои Жиги из бумаги в масштабе 1:25. Четверка в обвесе DFTZ и встиле киберпанк, Пятерка тоже в обвесе DFTZ в шуточной ливрее пародии на Тойоту Никиты Шикова, #pushthelimit",2019-10-13 18:11:36,"['VK-1603736028819866', 'VK-63916535562', 'VK-92173485600']"
"Начало положено) Хочу осуществить старый проект, Ваз 2101 с двигателем от BMW😄 Думаю некоторые еще помнят мой старый проект, с темно синей копейкой)",2019-10-04 17:33:22,"['VK-1603736028819866', 'VK-40609574360', 'VK-33298727496']"
"Решил сегодня сделать пару фотографий и вот что получилось.
ВАЗ-2101 
1:18 
IST Models",2019-09-14 21:25:30,"['VK-1603736028819866', 'VK-14592373981', 'VK-51564394777']"
"Решил сделать своеобразный сельский пикап из газ 22. Изготовил из дерева покрытие кузова и борта. Также решил покрасить жесткой кистью  под структуру дерева козырек и крышку прицепа. В общем, на оцен.",2019-09-04 22:40:47,"['VK-1603736028819866', 'VK-79629596657', 'VK-63990725301']"
"Пора в утиль..
Конверсия китайской копии агатовской жигули в 43 масштабе.Была некомплект,из фольги изготовил слепки деталей,лишнее спилил,приклеил и замял.Покраска не удалась,в итоге нанес следы состаривания от многолетнего простоя:ржавчину,пыль,налет от деревьев и т.д.Особо детализацией не занимался,так как качество модели того не стоит..",2019-09-01 09:48:41,"['VK-1603736028819866', 'VK-84545704175', 'VK-52472763070']"
"Решил сделать вот такой вагончик по мотивам арта Андрея Ткаченко. Сложнее всего было сделать этот самый карт на крыше, но кое-как удалось. В общем на оценку.",2019-08-28 11:22:07,"['VK-1603736028819866', 'VK-90304269493', 'VK-69876700175']"
"Привет, я хочу начать заниматься тюнингом  игрушечных авто, но мало чего знаю, если кто захочет мне помочь пишите в лс, буду очень рад 😌⚡",2019-08-16 17:33:04,"['VK-1603736028819866', 'VK-84281033119', 'VK-64934171174']"
Очередной проект со спорной внешкой). В качестве эксперимента лкп здесь это просто лак поверх голого металла. Расширения и прочее сделано из алюминия.  Декали вертолетные.,2019-08-15 07:33:48,"['VK-1603736028819866', 'VK-75869981579', 'VK-42444699600']"
"Ну шо, с обновой?!
Четвертый жифест прошел, разыграли четверку там, и вышла четверка от Ашота 😜
Как по мне, качество такое же как у 07, только фары получше тут получились и воздуховоды под бампером тут уже сквозные✌️😏
#shongreen #shongarage",2019-08-12 14:53:38,"['VK-1603736028819866', 'VK-24518841438', 'VK-13945128895']"
"Stage 4 надеюсь последний. Кузову около 10 лет, одна из старых моделей. В общем,теперь это волга - босудзоку)",2019-08-09 16:20:26,"['VK-1603736028819866', 'VK-36585482909', 'VK-21780001620']"
"Дорогие друзья! 

В этом году мы снова посетим такое мероприятие как Жи Фест 2019 и привезём собой не только модели но и интересные Автомобили ) 

Так что ждите, так-же кто занимается моделями вы можете выставить свои модели тоже.😌

#ЖиФест2019",2019-07-08 14:47:34,"['VK-1603736028819866', 'VK-53360158964', 'VK-82168066894']"
"ГАЗ-21И ""Волга"" (часть 2) были некоторые доработки, но есть один вопрос: лучше багажник на крыше сделать, как стандартный заводской багажник, или сделать топорно сваренный из старого забора (как на фото, я такие видел вживую), и относительно всего остального тоже жду советы и рекомендации, а так Волга старого дида помалу потиху начинает приобретать очертания. Жёсткая критика очень приветствуется!",2019-07-08 05:20:00,"['VK-1603736028819866', 'VK-91315449381', 'VK-38547956722']"
"Да, знаю что таких в реале не было, но она была в мультсериале ""Арчер"" так что мне этого вполне достаточно",2019-07-07 09:25:00,"['VK-1603736028819866', 'VK-74927956541', 'VK-82676317463']"
"ГАЗ-21И ""Волга"". Процесс занял примерно полтора часа, но будут доработки, а в будущем--диорама. Критика очень приветствуется. За фон извините :)",2019-07-06 05:24:00,"['VK-1603736028819866', 'VK-71589910366', 'VK-13367585553']"
"Огромное спасибо [id360161345|Толямба Комаров] за эту маленькую пушечку🔥❤
Я её очень ждала и безумно была рада, когда она оказалась у меня🙀
Я даже не ожидала, что она будет так похожа😃
Вообщем, ты мне подарил прекрасное настроение на весь день и это маленькое чудо❤
Безумно благодарна, море эмоций🔆
Спасибоооооо💕",2019-07-05 09:12:00,"['VK-1603736028819866', 'VK-38020985341', 'VK-11945664120']"
"Решил вместо очередной жести сделать красивый проект в таком псевдо-американском стиле. Был сделан шейвинг, выпилены центральные стойки + две двери вместо четырех. Покраска кастом ( распылял белый поверх бирюзового)",2019-07-04 09:32:00,"['VK-1603736028819866', 'VK-80532082668', 'VK-43732764464']"
"Подскажите, за какаю адекватную цену на авито можно взять копейку в 24 масштабе?",2019-06-24 05:16:00,"['VK-1603736028819866', 'VK-56299288211', 'VK-76991083849']"
"Модель больше экспериментальная, из разряда: а что если сделать из волги гоночный автомобиль? В общем как обычно не без косяков, но была построена такая вот пушка-баржа",2019-06-22 16:00:05,"['VK-1603736028819866', 'VK-11322249585', 'VK-99937242237']"
"Ребята!
28 июня 2019. Будет сходка масштабных моделей в Екатеринбурге,всё кто с Екатеринбурга приходите. 28.06.19
 Инфа: 28 июня в Екатеринбурге,онли площадь 1905 года(пассаж сборы) в 11:00 состоится сходка масштабных моделей.
 Приглашаем всех,приходите со своими пушечными моделями,пообщаемся,пофоткаем и многое другое. Буду снимать видос на канал: #ЯНiщий_модлс
 Будут грамоты за такие дисциплины как:
1.Самая стильная модель
2.Самая боевая модель
3.Самая низкая модель
4.Самая крутая сборка
Приходите,будем рады всем😉🤙",2019-06-20 10:13:00,"['VK-1603736028819866', 'VK-13232112609', 'VK-14205589511']"
"❤ Снова твоя вода в венах моих течёт, 
 Ты говорила «да» и больше не надо слов....",2019-06-07 09:27:57,"['VK-1603736028819866', 'VK-39320722051', 'VK-47678612880']"
"Берегите любовь, если вам повезёт
Повстречать её в жизни однажды.
Берегите любовь, коль она вас найдёт, 
Где, когда - да ведь это не важно.
Берегите любовь, находя сто причин,
Чтоб сильнее тянуться друг к другу.
Берегите любовь, что есть мочи и сил,
Вместе с сердцем, отдайте ей руку.
Берегите любовь, даже если порой
Ложью кажется чистая правда.
Берегите любовь - этот свет неземной,
Эта дверь не откроется дважды.
Берегите любовь и за тысячи миль
Сердцем чувствуйте сердце любимой.
Берегите любовь, это - ваш материк,
Вашей жизни, надежд вашей милой.
Берегите любовь, несмотря ни на что,
В жизнь свою не впускайте разлуку.
Берегите любовь, остальное потом...
Протяните ей верную руку...",2019-06-07 09:27:23,"['VK-1603736028819866', 'VK-54081040654', 'VK-60650554109']"
"GAME OVER 

Я не игрок по сути, я опускаю руки, 
Весь арсенал оружий, выбор теперь за тобой. 
Хочешь, стреляй мне в спину, так поступают люди. 
Хочешь, останови пули, те, что уже за спиной. 

Я не играю больше, маски разбиты, стёрты. 
Хочешь, возьми осколки, вены мои изрань. 
Только не бойся крови, все мы по факту мёртвы, 
Если меня режешь, то раненым принимай. 

Карты мои открыты, и на экране «game over», 
Я не играю больше, со временем ты поймёшь. 
Это не я такой, герой твоих игр ожил. 
Ты позвони мне после, когда свои игры пройдёшь. 

Автор: Танцующая-В Ночи 
Автор изображений: Irene Tena",2019-04-10 19:31:39,"['VK-1603736028819866', 'VK-61474588623', 'VK-90406634027']"
